,Unnamed: 0,price,rooms,area,kitchen_area,floor,renovation,deal_type,balcony,trash_chute,Год постройки,Серия дома,Количество этажей,Лифт,Тип перекрытий,Тип фундамента,Горячее водоснабжение,Количество балконов,Количество квартир,Холодное водоснабжение,Теплоснабжение,Водоотведение,Количество подъездов,Жилая,years_in_ownership,number_of_owners,energy_efficiency_class,power_supply,number_of_elevators,ventilation,freight_elevator,gas_supply,latitude,longitude,wall_material_Блочный,wall_material_Железобетон,wall_material_Кирпично-монолитный,wall_material_Кирпичный,wall_material_Монолитно-кирпичный,wall_material_Монолитный,wall_material_Панельный,wall_material_Смешанные
80,80,11000000,2.0,59.0,10.0,4.0,1,0,1,1.0,2001.0,89152-к примогражданпроект,12.0,1.0,Железобетонный,Ленточный,,1.0,,,,,,,,,B+,,,,,,43.1758235,131.92543638204492,False,False,False,True,False,False,False,False
81,81,13400000,2.0,62.2,,3.0,1,1,1,,2021.0,,24.0,,Железобетонный,,Центральное,1.0,219.0,,,,,,,,,,,,,,43.1703843,131.95445052492337,False,False,False,False,False,True,False,False
82,82,6800000,1.0,37.7,6.0,9.0,0,1,1,1.0,,,23.0,,,,,1.0,,,,,,,,,,,,,,,43.13563165,131.94452195152763,False,False,False,False,False,True,False,False
83,83,10000000,3.0,67.9,12.8,4.0,0,1,0,1.0,1993.0,,10.0,,Железобетонный,,Центральное,,,,,,,"42,1 м2",,,,,,,нет,,43.209236700000005,132.1481407,False,False,False,False,False,False,True,False
84,84,6200000,1.0,41.3,9.1,3.0,1,0,1,1.0,1987.0,,9.0,1.0,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,,,,,,,,D,,,,,,43.17010435,131.9318341124218,False,False,False,True,False,False,False,False
85,85,16500000,4.0,191.9,13.5,1.0,1,1,0,1.0,1984.0,,3.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,231.0,Центральное,,,,,,,D,,,,,,43.17650085,131.93970712227272,False,False,False,True,False,False,False,False
86,86,12900000,1.0,40.0,5.0,5.0,1,1,1,,2022.0,,7.0,,Железобетонный,,Поквартирный котел,1.0,,,,,,,,,,,,,,,54.7270737,55.9868538,False,False,False,False,False,True,False,False
87,87,6000000,1.0,30.6,8.0,4.0,1,0,1,0.0,1963.0,,5.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,Центральное,,,,,,D,,,,,,43.16830495,131.92819022704512,False,False,False,False,False,False,True,False
88,88,10500000,3.0,58.4,6.0,1.0,1,1,0,1.0,1958.0,,3.0,,Смешанный,Бетонные столбы,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,Центральное,Центральное,,,,,,,Центральное,,,,,43.116113850000005,131.9032703,False,False,False,True,False,False,False,False
89,89,7990000,1.0,39.3,10.0,14.0,0,0,1,,2015.0,25,25.0,1.0,Железобетонный,Сборный,,1.0,,Центральное,,,,,,,A,,,,,,43.0830431,131.8519583,False,False,False,False,False,True,False,False
90,90,9500000,1.0,38.8,12.0,5.0,1,0,0,,2009.0,,15.0,1.0,Железобетонный,Свайный,Закрытая с приготовлением горячей воды на ИТП,1.0,,Центральное,,,,,,,A,,,,,,43.1530927,131.9144007254032,False,False,False,False,False,True,False,False
91,91,11000000,3.0,85.0,,6.0,1,0,0,1.0,1976.0,,9.0,1.0,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,,,,,,,,D,,,,,,43.178520250000005,131.91327914530802,False,False,False,True,False,False,False,False
92,92,7900000,,,,,1,0,0,,,,10.0,,,,,,,,,,,,,,,,,,,,43.1232754,131.92395275463758,False,False,False,False,False,False,True,False
93,93,5000000,1.0,38.6,12.0,9.0,0,1,0,,2021.0,,14.0,,Железобетонный,,,1.0,,,,,,,,,,,,,,,43.097522600000005,131.9493676323773,False,False,False,False,False,True,False,False
94,94,7050000,1.0,25.2,4.0,24.0,1,1,1,0.0,2019.0,,,,,,,1.0,,,,,,,,,,,,,,,43.08745,131.856284,False,False,False,False,False,True,False,False
95,95,4450000,1.0,26.0,8.0,2.0,0,0,0,,,,25.0,,,,,,,,,,,,,,,,,,,,43.11458735,131.9715006309379,False,False,False,False,False,False,False,False
96,96,7700000,1.0,44.6,14.0,12.0,0,1,0,1.0,2023.0,,24.0,1.0,,,,1.0,,,,,,,,,,,,,,,43.2013578,131.9473328,False,False,False,False,False,True,False,False
97,97,10500000,3.0,72.0,10.0,7.0,1,0,1,1.0,2012.0,v-кирпичный,14.0,1.0,Железобетонный,Ленточный,,1.0,254.0,,,,,,,,D,,,,,,43.2150671,131.94874704619235,False,False,False,True,False,False,False,False
98,98,8600000,1.0,36.7,6.0,8.0,1,0,0,1.0,,,25.0,,,,,1.0,,,,,,,,,,,,,,,43.2516191,132.027896,False,False,True,False,False,False,False,False
99,99,6100000,2.0,46.6,6.4,1.0,1,1,0,1.0,1956.0,,3.0,,Железобетонный,Ленточный,,,,Центральное,Центральное,,,,,,,Центральное,,Вытяжная,,,43.09790755,131.95058575700403,True,False,False,False,False,False,False,False
100,100,5850000,1.0,36.7,5.0,8.0,0,1,0,,,,25.0,,,,,1.0,,,,,,,,,,,,,,,,,False,False,False,False,False,False,True,False
101,101,15300000,4.0,71.0,6.0,21.0,1,1,0,1.0,2019.0,,,,,,,,,,,,,,,,,,,,,,43.08745,131.856284,False,False,False,False,False,True,False,False
102,102,5850000,,36.6,6.0,3.0,0,1,1,,2024.0,,25.0,,Железобетонный,,Центральное,1.0,311.0,,,,,,,,,,,,,,,,False,False,False,False,False,True,False,False
103,103,4000000,,,,,0,0,0,1.0,1982.0,у-0101,9.0,1.0,Железобетонный,Ленточный,,,152.0,,,,,,,,E,,,,,,43.0963429,131.94498826067343,False,False,False,False,False,False,True,False
104,104,7900000,2.0,50.1,8.0,3.0,1,1,1,1.0,1987.0,ПП-83,9.0,1.0,Железобетонный,Ленточный,Закрытая с приготовлением горячей воды на ЦТП,1.0,,,,,,,,,,,1.0,,,,,,False,False,False,False,False,False,True,False
105,105,7200000,,,,,0,1,0,,2011.0,"14/14, индивидуальный",24.0,1.0,Железобетонный,Бетонные столбы,,,,Центральное,,,,,,,C,,,,,,43.0874135,131.8558073,False,False,False,False,False,True,False,False
106,106,12300000,3.0,60.2,20.0,4.0,1,1,1,,2023.0,,25.0,,Железобетонный,,,1.0,220.0,,,,,,,,,,,,,,43.16781445,131.96586772546414,False,False,False,False,False,True,False,False
107,107,7200000,2.0,32.0,,2.0,1,1,0,0.0,1918.0,,2.0,,Деревянный,,Поквартирный котел,1.0,,,,,,,,,,,,,,,43.1154534,131.8896585,False,False,False,True,False,False,False,False
108,108,20300000,2.0,115.0,,2.0,1,1,0,,2008.0,,8.0,,Железобетонный,,Центральное,1.0,,,,,,,,,,,,,,,43.11451355,131.8783384398115,False,False,False,False,False,True,False,False
